"Übergeordnete ID-Nummer",ID-Nummer,Kurzname,Beschreibung,Beschreibungsformat,Skalenwerte,Skalenkonfiguration,"Regeltyp (optional)","Regelergebnis (optional)","Regelkonfiguration (optional)","Querverweisende Kompetenz-ID-Nummern","Exportierte ID (optional)","Ist Kompetenzrahmen",Taxonomie
,2.0,GRETA,"<p dir=""ltr"" style=""text-align:left;"">URL zu allen Facetten: <a href=""https://www.greta-die.de/webpages/kompetenzfacetten-index"" target=""_blank"" rel=""noreferrer noopener"">https://www.greta-die.de/webpages/kompetenzfacetten-index</a><br /></p>",1,"Nutzt Wissen über einzelne Fakten,Reflektiert das Wissen in Einzelfällen,Berücksichtigt den Gesamtzusammenhang und wägt Fakten ab","[{""scaleid"":""1""},{""id"":1,""scaledefault"":0,""proficient"":1},{""id"":2,""scaledefault"":0,""proficient"":1},{""id"":3,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,GRETA-1,"Berufspraktisches Wissen und Können","Beschreibung Berufspraktisches Wissen und Können<br />",1,,,,0,null,,139,,
GRETA-1,GRETA-1-1,"Didaktik und Methodik","Beschreibung Didaktik und Methodik<br />",1,,,,0,null,,140,,
GRETA-1-1,GRETA-1-1-1,"Lerninhalte und -ziele","Die Planung und der Einsatz von Lerninhalten und -zielen umfassen das 
Wissen und Können hinsichtlich der Formulierung und Festlegung eines 
Lehrplans sowie von Lerninhalten und -zielen für ein Lehr-Lern-Angebot. 
Lernziele dienen der Orientierung und Qualitätssicherung im Hinblick auf
 die eigene Unterrichtsplanung, der reflektierten Auswahl von 
Lerninhalten sowie als Vergleichspunkt für Evaluationen und 
Lernstandkontrollen. Bei der Planung und Auswahl von Lerninhalten gilt 
es sowohl die Qualität der Inhalte als auch der verwendeten (digitalen) 
Informationskanäle und -quellen kritisch zu prüfen und zu bewerten. Die 
Planung der Inhalte und Ziele eines Lerngegenstandes sollte in erster 
Linie an den Teilnehmenden ausgerichtet sein: Inhalte und Ziele sollten 
sinnvoll, relevant, lebensdienlich, aktuell und nützlich sein sowie an 
bestehendes Wissen und Können der Teilnehmenden anknüpfen. Auch sollten 
die Lerninhalte und -ziele für die Teilnehmenden transparent sein und – 
je nach Kontext – gemeinsam mit den Teilnehmenden dialogisch erarbeitet 
werden.",1,,,,0,null,,141,,
GRETA-1-1,GRETA-1-1-2,"Methoden, Medien und Lernmaterialien","Die Kompetenzfacette Methoden, Medien und Lernmaterialien umfasst die 
reflektierte und kritische Auswahl, Nutzung und Gestaltung geeigneter 
Methoden, (digitaler) Medien und Lernmaterialien zur Unterstützung und 
Evaluation von Lehr-Lern-Prozessen. Nur wenn Methoden, (digitale) Medien
 und Lernmaterialien an vorher festgelegten Lernzielen ausgerichtet 
sind und verschiedene Einflussfaktoren berücksichtigt werden, wird das 
aktive Lernen optimal begünstigt bzw. ermöglicht. Neben der Ausrichtung 
auf die Lernziele sollten Methoden, (digitale) Medien und 
Lernmaterialien an den zu vermittelnden Inhalten sowie den Interessen, 
(Lern-)Bedürfnissen und Motivationslagen der Teilnehmenden ausgerichtet 
sein und gegebene Rahmenbedingungen berücksichtigen. Bei der Auswahl, 
Nutzung und Gestaltung geeigneter Methoden, (digitaler) Medien und 
Lernmaterialien müssen medien-, urheber- und datenschutzrechtliche sowie
 medienethische Aspekte, wie beispielsweise die Regeln des 
Urheberrechtes und der Umgang mit sensiblen Daten, berücksichtigt 
werden. Die im Lehr-Lern-Prozess eingesetzten Methoden, Medien und 
Lernmaterialien müssen evaluiert werden. Für diese Evaluation ist es 
notwendig, dass Lehrende sich von den Lernenden Feedback einholen, um 
auf Basis dieses Feedbacks Optimierungen am Lehr-Lern-Angebot 
vorzunehmen.",1,,,,0,null,,142,,
GRETA-1-1,GRETA-1-1-3,"Rahmenbedingungen und Lernumgebungen","Die Kompetenzfacette Rahmenbedingungen und Lernumgebungen umfasst 
räumliche, zeitliche, personelle, mediale und organisatorische 
Rahmenbedingungen, in die das Lehr-Lern-Setting eingebettet ist und die 
mehr oder minder planvoll beeinflusst werden können. Zu den 
Rahmenbedingungen zählen beispielsweise die Teilnehmendenzahl, die 
Zielgruppe, das Thema, der physische oder digitale Ort, die Dauer, das 
Material sowie die Medien, welche zur Verfügung stehen. 
Digital-gestützte Lernumgebungen kommen immer häufiger zum Einsatz und 
lassen sich als planmäßig gestaltete Lernarrangements verstehen, in 
denen basierend auf digitalen Medien und Infrastrukturen 
Rahmenbedingungen geschaffen werden, die das Lernen ermöglichen und 
fördern sollen. Damit Lernprozesse erfolgreich verlaufen, müssen 
Lerninhalte und -ziele mit der gegebenen Lernumgebung kompatibel sein. 
Die Aufgabe der Lehrenden besteht daher darin, Rahmenbedingungen vorab 
zu klären und bestmöglich anzupassen und auszuschöpfen, um eine 
konstruktiv-unterstützende (digital-gestützte) Lernumgebung zu schaffen",1,,,,0,null,,143,,
GRETA-1-1,GRETA-1-1-4,Outcomeorientierung,"Die Kompetenzfacette Outcomeorientierung umfasst die Ausrichtung des 
eigenen Lehrhandelns an zu erreichenden Lernergebnissen. Im Gegensatz 
dazu steht die Orientierung an Lerninhalten (Inputorientierung). Mit 
der Outcomeorientierung geht die Überzeugung einher, dass es nicht 
ausreicht, den Teilnehmenden lediglich die Lerninhalte zur Verfügung zu 
stellen, sondern dass das Lernen der Teilnehmenden gezielt angeregt, 
gefördert und ermöglicht werden soll. Zur Outcomeorientierung gehört, 
dass bereits die mikrodidaktische Feinplanung der konkreten 
Lehr-Lern-Aktivitäten, der einzusetzenden Methoden und Materialien immer
 auch im Hinblick auf die zu erreichenden Lernergebnisse erfolgt. Im 
Verlauf des Lehr-Lern-Geschehens muss die Erreichung der zuvor 
definierten Lernergebnisse durch Lernerfolgskontrollen im Sinne eines 
Soll-Ist-Vergleichs überprüft werden. Zeitpunkt bzw. Häufigkeit und Art 
der Lernerfolgskontrollen sollten situationsgerecht von der Lehrkraft 
bestimmt werden. Die Lernerfolgskontrollen sollten zudem so gestaltet 
sein, dass die Lernenden zur Reflexion ihres individuellen 
Kompetenzentwicklungsprozesses angeregt werden. Dazu muss die Lehrkraft 
verschiedene Methoden sowie (digitale) Tools/Werkzeuge kennen und im 
Hinblick auf ihre Eignung für den jeweils gegebenen Kontext (Art der zu 
überprüfenden Lernziele, Charakteristika der Teilnehmenden, 
Prüfungssituation etc.) sowie  im Hinblick auf datenschutzrechtlichen 
Aspekten beurteilen können. In rein digitalen Lehr-Lernsettings (z. B. 
in asynchronen Kursen auf Lehr-Lern-Plattformen) werden Lernstand und 
Lernerfolg häufig systemseitig definiert. Hier ist es erforderlich, dass
 Lehrende, die diesen Erhebungen zugrunde liegenden datengestützten 
Prozesse kennen und ggf. im Falle einer Nutzung der eigenen Beurteilung 
zur Seite stellen.",1,,,,0,null,,144,,
GRETA-1,GRETA-1-2,"Beratung/Individualisierte Lernunterstützung","Beschreibung Beratung/Individualisierte Lernunterstützung<br />",1,,,,0,null,,145,,
GRETA-1-2,GRETA-1-2-1,Teilnehmendenorientierung,"<p dir=""ltr"" style=""text-align:left;"">Teilnehmende lassen sich von den Adressatinnen und Adressaten insofern 
unterscheiden, als dass Teilnehmende die Personen sind, die tatsächlich 
zu dem jeweiligen Kursangebot erscheinen, während Adressatinnen und 
Adressaten als potenzielle Zielgruppe zu verstehen sind. 
Teilnehmendenorientierung umfasst die Fähigkeit, bei der Planung und 
Durchführung eines Kurses Wissen über relevante Merkmale der 
Teilnehmenden zu berücksichtigen, um das Lernangebot möglichst gut auf 
die Bedürfnisse der Teilnehmenden hin abzustimmen: beispielsweise 
demografische Merkmale und soziokulturelle Prägungen, Vorkenntnisse, 
(Lern-) Interessen, vorhandene Ressourcen oder limitierende Faktoren. 
Konkret heißt dies, dass die ausgewählten Lehr-Lern-Aktivitäten, die 
Methoden, Techniken, (digitale) Medien, Tools/Werkzeuge, Inhalte und 
Materialien so weit wie möglich mit den Möglichkeiten und Interessen der
 Teilnehmenden im Einklang stehen sollen. Unter dem Aspekt von 
demokratischer Partizipation und Empowerment gehört zur 
Teilnehmendenorientierung ferner, die Teilnehmenden im Rahmen des 
Möglichen an Entscheidungen, die den Kurs betreffen zu beteiligen, ihre 
aktive Mitwirkung sowie ihre Selbststeuerungs- und Selbstlernkompetenzen
 zu stärken. Lehrende sollten die passenden Lernimpulse setzen und das 
Lernen anregen und unterstützen. In der Erwachsenen- und Weiterbildung 
unterscheiden sich die Teilnehmenden in einem Kurs meist stärker 
voneinander hinsichtlich des Alters, der ethnischen Herkunft und 
Nationalität, der Religion und Weltanschauung, einer möglichen 
Behinderung oder der sexuellen Orientierung und Identität, als es in 
anderen Bildungsbereichen der Fall ist. Gleiches gilt oft auch für die 
Vorkenntnisse und Vorbildung, welche die Teilnehmenden in den Kurs 
mitbringen. Bei divers zusammengesetzten Teilnehmendengruppen erfordert 
Teilnehmendenorientierung zudem die Fähigkeit zur Binnendifferenzierung 
und Individualisierung des Unterrichts.<br /></p>",1,,,,0,null,,146,,
GRETA-1-2,GRETA-1-2-2,"Diagnostik und Lernberatung","<p dir=""ltr"" style=""text-align:left;"">Lehrende müssen die Lernausgangslagen und Lernvoraussetzungen wie 
beispielsweise Vorwissen, kognitive Bedingungen, Motivationen und 
Interessen der Lernenden analysieren, um optimale Lernunterstützung 
geben zu können. Für eine zielgerichtete Reaktion auf 
Lernschwierigkeiten ist es zuerst notwendig, die genauen Lernhindernisse
 und -probleme sowie die Gründe hierfür zu erkennen. Um die notwendigen 
Informationen über die Lernenden zu erhalten, können Lehrende 
unterschiedliche diagnostische Instrumente und digitale Tools/Werkzeuge 
unter Wahrung der datenschutzrechtlichen Bestimmungen einsetzen, die 
Ergebnisse auswerten und für Lernberatungsgespräche nutzen. Die 
Lernberatungsgespräche sind als direkte individuelle und 
personenbezogene Interaktionsprozesse zwischen Lehrenden und Lernenden 
zu verstehen. Im Rahmen eines Lernberatungsgesprächs geht es um das 
Reflektieren und Ermitteln von individuellen Lernsituationen und 
-problemen einzelner Lernender. Durch gemeinsames Reflektieren und 
Verstehen können so individuelle Lerngründe ermittelt und entsprechende 
Lernimpulse gesetzt werden. <br /></p>",1,,,,0,null,,147,,
