"Übergeordnete ID-Nummer",ID-Nummer,Kurzname,Beschreibung,Beschreibungsformat,Skalenwerte,Skalenkonfiguration,"Regeltyp (optional)","Regelergebnis (optional)","Regelkonfiguration (optional)","Querverweisende Kompetenz-ID-Nummern","Exportierte ID (optional)","Ist Kompetenzrahmen",Taxonomie
,2.0,GRETA,"<p dir=""ltr"" style=""text-align:left;"">URL zu allen Facetten: <a href=""https://www.greta-die.de/webpages/kompetenzfacetten-index"" target=""_blank"" rel=""noreferrer noopener"">https://www.greta-die.de/webpages/kompetenzfacetten-index</a><br /></p>",1,"Nutzt Wissen über einzelne Fakten,Reflektiert das Wissen in Einzelfällen,Berücksichtigt den Gesamtzusammenhang und wägt Fakten ab","[{""scaleid"":""1""},{""id"":1,""scaledefault"":0,""proficient"":1},{""id"":2,""scaledefault"":0,""proficient"":1},{""id"":3,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,greta-ka01,"Berufspraktisches Wissen und Können","Beschreibung Berufspraktisches Wissen und Können<br />",1,,,,0,null,,1,,
greta-ka01,greta-ka01-kb01,"Didaktik und Methodik","Beschreibung Didaktik und Methodik<br />",1,,,,0,null,,2,,
greta-ka01-kb01,greta-ka01-kb01-kf01,"Lerninhalte und -ziele","Die Planung und der Einsatz von Lerninhalten und -zielen umfassen das 
Wissen und Können hinsichtlich der Formulierung und Festlegung eines 
Lehrplans sowie von Lerninhalten und -zielen für ein Lehr-Lern-Angebot. 
Lernziele dienen der Orientierung und Qualitätssicherung im Hinblick auf
 die eigene Unterrichtsplanung, der reflektierten Auswahl von 
Lerninhalten sowie als Vergleichspunkt für Evaluationen und 
Lernstandkontrollen. Bei der Planung und Auswahl von Lerninhalten gilt 
es sowohl die Qualität der Inhalte als auch der verwendeten (digitalen) 
Informationskanäle und -quellen kritisch zu prüfen und zu bewerten. Die 
Planung der Inhalte und Ziele eines Lerngegenstandes sollte in erster 
Linie an den Teilnehmenden ausgerichtet sein: Inhalte und Ziele sollten 
sinnvoll, relevant, lebensdienlich, aktuell und nützlich sein sowie an 
bestehendes Wissen und Können der Teilnehmenden anknüpfen. Auch sollten 
die Lerninhalte und -ziele für die Teilnehmenden transparent sein und – 
je nach Kontext – gemeinsam mit den Teilnehmenden dialogisch erarbeitet 
werden.",1,,,,0,null,,3,,
greta-ka01-kb01-kf01,greta-ka01-kb01-kf01-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen<br /></p>",1,,,,0,null,,4,,
greta-ka01-kb01-kf01,greta-ka01-kb01-kf01-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,5,,
greta-ka01-kb01-kf01,greta-ka01-kb01-kf01-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,6,,
greta-ka01-kb01-kf01,greta-ka01-kb01-kf01-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,7,,
greta-ka01-kb01,greta-ka01-kb01-kf02,"Methoden, Medien und Lernmaterialien","Die Kompetenzfacette Methoden, Medien und Lernmaterialien umfasst die 
reflektierte und kritische Auswahl, Nutzung und Gestaltung geeigneter 
Methoden, (digitaler) Medien und Lernmaterialien zur Unterstützung und 
Evaluation von Lehr-Lern-Prozessen. Nur wenn Methoden, (digitale) Medien
 und Lernmaterialien an vorher festgelegten Lernzielen ausgerichtet 
sind und verschiedene Einflussfaktoren berücksichtigt werden, wird das 
aktive Lernen optimal begünstigt bzw. ermöglicht. Neben der Ausrichtung 
auf die Lernziele sollten Methoden, (digitale) Medien und 
Lernmaterialien an den zu vermittelnden Inhalten sowie den Interessen, 
(Lern-)Bedürfnissen und Motivationslagen der Teilnehmenden ausgerichtet 
sein und gegebene Rahmenbedingungen berücksichtigen. Bei der Auswahl, 
Nutzung und Gestaltung geeigneter Methoden, (digitaler) Medien und 
Lernmaterialien müssen medien-, urheber- und datenschutzrechtliche sowie
 medienethische Aspekte, wie beispielsweise die Regeln des 
Urheberrechtes und der Umgang mit sensiblen Daten, berücksichtigt 
werden. Die im Lehr-Lern-Prozess eingesetzten Methoden, Medien und 
Lernmaterialien müssen evaluiert werden. Für diese Evaluation ist es 
notwendig, dass Lehrende sich von den Lernenden Feedback einholen, um 
auf Basis dieses Feedbacks Optimierungen am Lehr-Lern-Angebot 
vorzunehmen.",1,,,,0,null,,8,,
greta-ka01-kb01-kf02,greta-ka01-kb01-kf02-l01,"Kennen und verstehen","<p dir=""ltr"" style=""text-align:left;"">Inhalte wiedergeben und einordnen</p>",1,,,,0,null,,9,,
greta-ka01-kb01-kf02,greta-ka01-kb01-kf02-l02,"Anwenden und umsetzen","<p dir=""ltr"" style=""text-align:left;"">Inhalte anwenden und Vorgehensweisen umsetzen<br /></p>",1,,,,0,null,,10,,
greta-ka01-kb01-kf02,greta-ka01-kb01-kf02-l03,"Analysieren und beurteilen","<p dir=""ltr"" style=""text-align:left;"">Zusammenhänge und Situationen deuten und bewerten<br /></p>",1,,,,0,null,,11,,
greta-ka01-kb01-kf02,greta-ka01-kb01-kf02-l04,"Weiterentwickeln und kreieren","<p dir=""ltr"" style=""text-align:left;"">Inhalte aufeinander beziehen und Situationen neu gestalten<br /></p>",1,,,,0,null,,12,,
